region,highway,n,mean_hostility,mean_speed,mean_lanes
Cincinnati (Hamilton Co.),primary,2790,0.5340489564783418,34.92114695340503,3.782078853046595
Cincinnati (Hamilton Co.),residential,13028,0.19184087926117022,19.585891925084553,2.0235646300276326
Cincinnati (Hamilton Co.),secondary,3362,0.47169382037966223,33.323914336704355,3.4083878643664485
Cincinnati (Hamilton Co.),tertiary,3677,0.3742963500354569,29.975523524612463,2.6146314930649988
Cincinnati (Hamilton Co.),unclassified,590,0.2532406275201781,23.805084745762713,2.2084745762711866
Northern Kentucky,primary,1225,0.5916821653405142,40.273469387755114,3.673469387755102
Northern Kentucky,residential,7268,0.1816012583723134,24.832140891579535,1.1443313153549808
Northern Kentucky,secondary,1405,0.48480076940824496,35.5693950177936,2.9437722419928827
Northern Kentucky,tertiary,730,0.3723721281428903,29.979452054794514,2.506849315068493
Northern Kentucky,unclassified,585,0.240034853617931,25.478632478632477,1.8358974358974358
